,participant_id,session_start_iso,handedness,proficiency,age,block,block_time_s,trial,amplitude_px,direction,diameter_px,radius_px,errors,path_distance_px,center_to_click_px,trial_time_s
184,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,25,360,right,80,40,0,523.89,355.04,0.8065
185,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,26,500,left,120,60,0,716.43,495.45,0.9814
186,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,27,260,right,160,80,0,495.49,299.14,0.7522
187,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,28,180,left,160,80,0,160.73,134.95,0.4339
188,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,29,360,right,40,20,0,416.91,367.01,0.9095
189,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,30,360,left,80,40,0,350.17,338.0,1.1872
190,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,31,180,right,120,60,1,130.15,126.67,0.6165
191,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,32,360,left,160,80,0,357.46,349.09,0.748
192,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,7,33.975,1,180,left,80,40,0,177.86,173.05,0.5875
193,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,7,33.975,2,260,left,120,60,0,352.1,287.25,1.2189
194,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,7,33.975,3,180,right,160,80,0,171.77,160.25,0.7652
195,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,7,33.975,4,360,left,80,40,0,424.11,387.08,0.9258
196,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,7,33.975,5,500,left,80,40,0,1015.94,503.0,0.8255
197,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,7,33.975,6,360,right,160,80,0,459.59,402.0,0.6402
198,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,7,33.975,7,500,right,160,80,0,1395.36,537.37,1.0503
199,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,7,33.975,8,500,left,40,20,0,534.43,498.04,0.6455
200,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,7,33.975,9,360,right,80,40,0,371.83,360.01,0.736
201,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,7,33.975,10,180,right,120,60,0,599.3,175.1,0.8966
202,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,7,33.975,11,500,right,40,20,0,681.22,498.0,1.1599
203,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,7,33.975,12,360,left,160,80,0,482.07,380.38,0.7803
